"epoch","0327145939 - _step","0327145939 - _step__MIN","0327145939 - _step__MAX","0327145939 - test_loss","0327145939 - test_loss__MIN","0327145939 - test_loss__MAX","0327145939 - train_loss","0327145939 - train_loss__MIN","0327145939 - train_loss__MAX"
"0","0.5","0","1","145.6287384033203","145.6287384033203","145.6287384033203","163.52847290039062","163.52847290039062","163.52847290039062"
"1","2.5","2","3","94.02169799804688","94.02169799804688","94.02169799804688","101.81572723388672","101.81572723388672","101.81572723388672"
"2","4.5","4","5","68.98301696777344","68.98301696777344","68.98301696777344","74.79354095458984","74.79354095458984","74.79354095458984"
"3","6.5","6","7","54.59576416015625","54.59576416015625","54.59576416015625","59.17661666870117","59.17661666870117","59.17661666870117"
"4","8.5","8","9","49.72702407836914","49.72702407836914","49.72702407836914","53.138187408447266","53.138187408447266","53.138187408447266"
"5","10.5","10","11","40.982845306396484","40.982845306396484","40.982845306396484","44.63380432128906","44.63380432128906","44.63380432128906"
"6","12.5","12","13","37.16368865966797","37.16368865966797","37.16368865966797","39.55888366699219","39.55888366699219","39.55888366699219"
"7","14.5","14","15","34.37525939941406","34.37525939941406","34.37525939941406","36.63494873046875","36.63494873046875","36.63494873046875"
"8","16.5","16","17","32.34031677246094","32.34031677246094","32.34031677246094","34.30514907836914","34.30514907836914","34.30514907836914"
"9","18.5","18","19","30.82021141052246","30.82021141052246","30.82021141052246","32.60475540161133","32.60475540161133","32.60475540161133"
"10","20.5","20","21","29.55152130126953","29.55152130126953","29.55152130126953","31.380538940429688","31.380538940429688","31.380538940429688"
"11","22.5","22","23","28.245203018188477","28.245203018188477","28.245203018188477","30.12398338317871","30.12398338317871","30.12398338317871"
"12","24.5","24","25","27.31793975830078","27.31793975830078","27.31793975830078","29.707746505737305","29.707746505737305","29.707746505737305"
"13","26.5","26","27","26.5654296875","26.5654296875","26.5654296875","28.285066604614258","28.285066604614258","28.285066604614258"
"14","28.5","28","29","24.7043514251709","24.7043514251709","24.7043514251709","26.761777877807617","26.761777877807617","26.761777877807617"
"15","30.5","30","31","23.657793045043945","23.657793045043945","23.657793045043945","25.594783782958984","25.594783782958984","25.594783782958984"
"16","32.5","32","33","22.68580436706543","22.68580436706543","22.68580436706543","24.410717010498047","24.410717010498047","24.410717010498047"
"17","34.5","34","35","22.043359756469727","22.043359756469727","22.043359756469727","23.44346046447754","23.44346046447754","23.44346046447754"
"18","36.5","36","37","20.920564651489258","20.920564651489258","20.920564651489258","22.38683319091797","22.38683319091797","22.38683319091797"
"19","38.5","38","39","20.377290725708008","20.377290725708008","20.377290725708008","21.72190284729004","21.72190284729004","21.72190284729004"
"20","40.5","40","41","20.038414001464844","20.038414001464844","20.038414001464844","21.141889572143555","21.141889572143555","21.141889572143555"
"21","42.5","42","43","20.006244659423828","20.006244659423828","20.006244659423828","21.003808975219727","21.003808975219727","21.003808975219727"
"22","44.5","44","45","19.17300033569336","19.17300033569336","19.17300033569336","20.325973510742188","20.325973510742188","20.325973510742188"
"23","46.5","46","47","19.012535095214844","19.012535095214844","19.012535095214844","20.056987762451172","20.056987762451172","20.056987762451172"
"24","48.5","48","49","19.035419464111328","19.035419464111328","19.035419464111328","20.032419204711914","20.032419204711914","20.032419204711914"
"25","50.5","50","51","18.563337326049805","18.563337326049805","18.563337326049805","19.620161056518555","19.620161056518555","19.620161056518555"
"26","52.5","52","53","18.61109733581543","18.61109733581543","18.61109733581543","19.724193572998047","19.724193572998047","19.724193572998047"
"27","54.5","54","55","18.290191650390625","18.290191650390625","18.290191650390625","19.26144790649414","19.26144790649414","19.26144790649414"
"28","56.5","56","57","18.338321685791016","18.338321685791016","18.338321685791016","19.210773468017578","19.210773468017578","19.210773468017578"
"29","58.5","58","59","17.952598571777344","17.952598571777344","17.952598571777344","18.95952033996582","18.95952033996582","18.95952033996582"
"30","60.5","60","61","17.948951721191406","17.948951721191406","17.948951721191406","18.950204849243164","18.950204849243164","18.950204849243164"
"31","62.5","62","63","18.237573623657227","18.237573623657227","18.237573623657227","19.035003662109375","19.035003662109375","19.035003662109375"
"32","64.5","64","65","17.92633056640625","17.92633056640625","17.92633056640625","18.786867141723633","18.786867141723633","18.786867141723633"
"33","66.5","66","67","17.651447296142578","17.651447296142578","17.651447296142578","18.658266067504883","18.658266067504883","18.658266067504883"
"34","68.5","68","69","17.632728576660156","17.632728576660156","17.632728576660156","18.80263328552246","18.80263328552246","18.80263328552246"
"35","70.5","70","71","17.40053939819336","17.40053939819336","17.40053939819336","18.511966705322266","18.511966705322266","18.511966705322266"
"36","72.5","72","73","17.361867904663086","17.361867904663086","17.361867904663086","18.427989959716797","18.427989959716797","18.427989959716797"
"37","74.5","74","75","17.39908218383789","17.39908218383789","17.39908218383789","18.381145477294922","18.381145477294922","18.381145477294922"
"38","76.5","76","77","17.412578582763672","17.412578582763672","17.412578582763672","18.405309677124023","18.405309677124023","18.405309677124023"
"39","78.5","78","79","17.213565826416016","17.213565826416016","17.213565826416016","18.318260192871094","18.318260192871094","18.318260192871094"
